csp-1_005-2_S2;South
csp-11_006-2_S4;South
csp-11_010-2_S6;South
csp-11_011-2_S8;South
csp-11_012-2_S10;South
csp-11_017-2_S11;South
csp-36_017-2_S11;South
csp-1_017-2_S11;South
csp-35_017-2_S11;South
csp-4_018-2_S12;South
csp-53_019-2_S13;South
csp-36_019-2_S13;South
csp-47_019-2_S13;South
csp-27_021-2_S15;South
csp-68_021-2_S15;South
csp-39_021-2_S15;South
csp-46_021-2_S15;South
csp-35_021-2_S15;South
csp-4_021-2_S15;South
csp-36_022-2_S16;South
csp-27_023-2_S17;South
csp-46_023-2_S17;South
csp-68_023-2_S17;South
csp-39_023-2_S17;South
csp-35_023-2_S17;South
csp-4_023-2_S17;South
csp-11_024-2_S19;North
csp-99_025-2_S21;North
csp-35_025-2_S21;North
csp-11_025-2_S21;North
csp-4_025-2_S21;North
csp-22_025-2_S21;North
csp-55_027-2_S23;North
csp-94_029-2_S25;North
csp-19_029-2_S25;North
csp-31_029-2_S25;North
csp-35_029-2_S25;North
csp-1_029-2_S25;North
csp-15_030-2_S27;North
csp-94_034-2_S28;North
csp-55_034-2_S28;North
csp-15_034-2_S28;North
csp-53_040-2_S30;North
csp-47_040-2_S30;North
csp-32_040-2_S30;North
csp-8_040-2_S30;North
csp-32_048-2_S32;North
csp-53_048-2_S32;North
csp-4_048-2_S32;North
csp-47_048-2_S32;North
csp-35_048-2_S32;North
csp-55_048-2_S32;North
csp-15_048-2_S32;North
csp-8_048-2_S32;North
csp-35_11639-2_S6;North
csp-35_13819-2_S7;North
csp-8_13819-2_S7;North
csp-4_13819-2_S7;North
csp_3D7;Reference
csp-31_13839-2_S11;North
csp-22_18330-2_S5;North
csp-35_18411-2_S14;North
csp-36_18437-2_S16;North
csp-1_192771-2_S13;North
csp-8_22511-2_S17;North
csp-117_82281-2_S2;North
csp-68_82281-2_S2;North
csp-117_8238-2_S9;North
csp-68_8238-2_S9;North
csp-8_Abass-2_S3;North
csp-18_Abass-2_S3;North
csp-111_Abass-2_S3;North
csp-12_Abass-2_S3;North
csp-8_Ali-2_S18;North
csp-16_Ali-2_S18;North
csp-47_Ali-2_S18;North
csp-12_Balkisu-2_S1;North
csp-46_cc001-2_S9;South
csp-4_cc001-2_S9;South
csp-8_cc001-2_S9;South
csp-35_cc001-2_S9;South
csp-15_cc002-2_S10;South
csp-117_cc002-2_S10;South
csp-35_cc002-2_S10;South
csp-36_cc002-2_S10;South
csp-4_cc002-2_S10;South
csp-36_cc003-2_S11;South
csp-15_cc004-2_S12;South
csp-8_cc004-2_S12;South
csp-8_cc005-2_S13;South
csp-15_cc006-2_S14;South
csp-8_cc006-2_S14;South
csp-18_cc006-2_S14;South
csp-47_cc007-2_S15;South
csp-35_cc009-2_S17;South
csp-47_cc009-2_S17;South
csp-18_cc010-2_S18;South
csp-46_cc011-2_S19;South
csp-39_cc011-2_S19;South
csp-35_cc011-2_S19;South
csp-94_cc011-2_S19;South
csp-4_cc011-2_S19;South
csp-35_cc012-2_S20;South
csp-18_cc012-2_S20;South
csp-11_cc012-2_S20;South
csp-7_cc014-2_S21;South
csp-10_cc014-2_S21;South
csp-8_cc014-2_S21;South
csp-1_cc015-2_S22;South
csp-4_cc016-2_S23;South
csp-4_cc018-2_S25;South
csp-55_cc018-2_S25;South
csp-117_cc018-2_S25;South
csp-35_cc019-2_S26;South
csp-68_cc020-1_S27;South
csp-22_cc020-1_S27;South
csp-1_cc020-1_S27;South
csp-35_cc020-1_S27;South
csp-35_cc020-2_S27;South
csp-8_cc020-2_S27;South
csp-68_cc021-1_S28;South
csp-68_cc021-1_S28;South
csp-22_cc021-1_S28;South
csp-22_cc021-1_S28;South
csp-12_cc021-1_S28;South
csp-12_cc021-1_S28;South
csp-8_cc021-1_S28;South
csp-8_cc021-1_S28;South
csp-4_cc021-1_S28;South
csp-4_cc021-1_S28;South
csp-12_cc021-2_S28;South
csp-68_cc022-1_S29;South
csp-68_cc022-1_S29;South
csp-22_cc022-1_S29;South
csp-22_cc022-1_S29;South
csp-8_cc022-1_S29;South
csp-8_cc022-1_S29;South
csp-15_cc022-2_S1;South
csp-8_cc022-2_S1;South
csp-32_KG073-2_S19;Central
csp-12_Mariam-2_S4;North
csp-8_Mariam-2_S4;North
csp-35_MGH001-2_S8;North
csp-1_MGH001-2_S8;North
csp-11_MGH001-2_S8;North
csp-4_pz049-2_S20;North
csp-15_pz049-2_S20;North
csp-1_pz049-2_S20;North
csp-12_Rafiatu-2_S8;North
csp-8_Rafiatu-2_S8;North
csp-55_Shaatu-2_S10;North
csp-94_sk052-2_S2;Central
csp-32_sk052-2_S2;Central
csp-11_sk053-2_S4;Central
csp-4_sk053-2_S4;Central
csp-7_sk057-2_S6;Central
csp-99_sk057-2_S6;Central
csp-8_sk057-2_S6;Central
csp-12_sk085-2_S8;Central
csp-10_sk085-2_S8;Central
csp-35_sk085-2_S8;Central
csp-22_sk085-2_S8;Central
csp-16_sk085-2_S8;Central
csp-4_sk088-2_S10;Central
csp-8_sk090-2_S12;Central
csp-68_sk090-2_S12;Central
csp-35_sk094-2_S14;Central
csp-35_sk096-2_S16;Central
csp-10_sk097-2_S18;Central
csp-12_sk097-2_S18;Central
csp-22_sk097-2_S18;Central
csp-35_sk097-2_S18;Central
csp-16_sk097-2_S18;Central
csp-27_sk101-2_S20;Central
csp-32_sk107-2_S22;Central
csp-32_sk108-2_S24;Central
csp-22_sk119-2_S26;Central
csp-35_sk119-2_S26;Central
csp-27_sk119-2_S26;Central
csp-16_sk119-2_S26;Central
csp-99_sk119-2_S26;Central
csp-32_sk119-2_S26;Central
csp-19_sk125-2_S28;Central
csp-32_sk125-2_S28;Central
csp-31_sk125-2_S28;Central
csp-1_sk125-2_S28;Central
csp-1_sk142-2_S30;Central
csp-8_sk150-2_S32;Central
csp-4_sk150-2_S32;Central
csp-12_sk150-2_S32;Central
csp-11_sk150-2_S32;Central
csp-4_sk159-2_S36;Central
csp-7_sk162-2_S38;Central
csp-8_sk162-2_S38;Central
csp-10_sk162-2_S38;Central
csp-111_sk163-2_S40;Central
csp-18_sk163-2_S40;Central
csp-16_sk166-2_S1;Central
csp-4_sk166-2_S1;Central
csp-22_sk166-2_S1;Central
csp-35_sk166-2_S1;Central
csp-18_sk166-2_S1;Central
csp-32_sk166-2_S1;Central
csp-8_sk166-2_S1;Central
csp-1_sk177-2_S2;Central
csp-16_sk179-2_S3;Central
csp-35_sk181-2_S4;Central
csp-16_sk181-2_S4;Central
csp-4_sk181-2_S4;Central
csp-31_sk189-2_S5;Central
csp-16_sk191-2_S6;Central
csp-31_sk191-2_S6;Central
csp-35_sk191-2_S6;Central
csp-19_sk196-2_S7;Central
csp-18_sk196-2_S7;Central
csp-68_sk196-2_S7;Central
csp-16_sk196-2_S7;Central
csp-111_sk196-2_S7;Central
csp-31_sk196-2_S7;Central
csp-1_sk196-2_S7;Central
